account_number,clinic,email,onboarding_status,service_status,package_name,monthly_price_list,billing_day,last_invoice_date,invoice_summary,wrong_full_months,paid_on_wrong,catchup_on_next_run_zar,debit_method,mandate_db,billing_health,expected_next_invoice_total_if_full_month,notes
CT-2026-00037,Unjani Clinic - Daggakraal,daggakraal@unjani.org,in_progress,pending,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,,,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending; no active debit method in DB
CT-2026-00038,Unjani Clinic - uMzimkhulu,umzimkhulu@unjani.org,in_progress,pending,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,,,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending; no active debit method in DB
CT-2026-09999,Unjani Clinic - Training Demo,jeffrey.de.wee+unjani-training@circletel.co.za,submitted,pending,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,,,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending; no active debit method in DB
CT-2026-00011,Mbali Zwakele Gumbi T/A Unjani Clinic - Cosmo City,cosmo@unjani.org,billing_ready,active,Unjani Managed Connectivity,450.00,20,2026-06-19,INV-2026-00017 [sent R276.00/correct_prorata],0,0,0.00,debit_order,active,OK_MSA_ALIGNED,517.50,Existing invoices MSA-aligned
CT-2026-00012,Bhekilanga Health Care,fleurhof@unjani.org,billing_ready,active,Unjani Managed Connectivity,450.00,25,2026-06-19,INV-2026-00018 [paid R276.00/correct_prorata],0,0,0.00,debit_order,active,OK_MSA_ALIGNED,517.50,Existing invoices MSA-aligned
CT-2026-00023,Unjani Clinic - Zamdela,mologadimo17@gmail.com,billing_ready,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00039 [sent R276.00/correct_prorata]; INV-2026-00040 [sent R517.50/correct_full_month],0,0,0.00,debit_order,active,OK_MSA_ALIGNED,517.50,Existing invoices MSA-aligned
CT-2026-00028,Unjani Clinic - Soshanguve (Block P),salome.moletsane@gmail.com,billing_ready,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00037 [sent R276.00/correct_prorata]; INV-2026-00038 [sent R517.50/correct_full_month],0,0,0.00,debit_order,active,OK_MSA_ALIGNED,517.50,Existing invoices MSA-aligned
CT-2026-00009,Unjani Clinic - Alexandra,alexandra@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00021 [voided R450.00/voided_wrong_full_month],0,0,0.00,,,REVIEW,517.50,no active debit method in DB
CT-2026-00010,Unjani Clinic - Chloorkop,chloorkop@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00022 [voided R450.00/voided_wrong_full_month],0,0,0.00,,,REVIEW,517.50,no active debit method in DB
CT-2026-00015,Unjani Clinic - Sicelo,sicelo@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00028 [voided R450.00/voided_wrong_full_month],0,0,0.00,,,REVIEW,517.50,no active debit method in DB
CT-2026-00018,Unjani Clinic - Oukasie,oukasie@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00029 [voided R450.00/voided_wrong_full_month],0,0,0.00,,,REVIEW,517.50,no active debit method in DB
CT-2026-00025,Unjani Clinic - Phoenix,phoenix@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00031 [voided R450.00/voided_wrong_full_month],0,0,0.00,,,REVIEW,517.50,no active debit method in DB
