pulled_at_utc,account_number,clinic,invoice_number,invoice_type,period,invoice_class,invoice_status,invoice_total,invoice_amount_paid_supabase,collection_method,netcash_settled,netcash_settled_amount,netcash_settlement_source,netcash_settlement_detail,settlement_vs_invoice,debit_method_db,mandate_status_db,max_debit_amount_db,netcash_mandate_status_code,netcash_mandate_label,netcash_mandate_outcome,netcash_mandate_verified,shortfall_vs_msa_if_wrong_full_month,statement_lines_for_invoice
2026-07-14T22:13:01.778Z,CT-2026-00017,Unjani Clinic - Barcelona,INV-2026-00025,recurring,2026-07-01 → 2026-07-31,wrong_full_month,sent,450.00,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,2,Awaiting authorisation,pending,false,517.50,0
2026-07-14T22:13:01.778Z,CT-2026-00018,Unjani Clinic - Oukasie,INV-2026-00029,recurring,2026-07-01 → 2026-07-31,voided_wrong_full_month,voided,450.00,0.00,paynow,NO,0.00,n/a,Invoice voided — no settlement expected,VOIDED,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00019,Unjani Clinic - Jabulani,INV-2026-00030,recurring,2026-07-01 → 2026-07-31,wrong_full_month,sent,450.00,0.00,paynow,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,,,,,NOT_IN_MANDATE_FILE,missing,,517.50,0
2026-07-14T22:13:01.778Z,CT-2026-00020,Unjani Clinic - Lens ext 10,INV-2026-00034,recurring,2026-07-01 → 2026-07-31,wrong_full_month,paid,450.00,450.00,paynow,YES,450.00,payment_transactions,R450.00 completed netcash @ 2026-07-07 ref=83def339-91b0-42f5-8bdb-f26701692c19,MATCHES_INVOICE_TOTAL,,,,2,Awaiting authorisation,pending,false,67.50,0
2026-07-14T22:13:01.778Z,CT-2026-00021,Unjani Clinic - Nokaneng,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,debit_order,active,,2,Awaiting authorisation,pending,false,,0
2026-07-14T22:13:01.778Z,CT-2026-00022,Unjani Clinic - Kayamandi,INV-2026-00016,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,paid,276.00,276.00,debit_order,YES,276.00,merchant_statement_live,2026-07-01 TDD R276.00 (INV-2026-00016 - ESTERKULA PRY LTD),MATCHES_INVOICE_TOTAL,debit_order,active,,2,Awaiting authorisation,pending,false,,1
2026-07-14T22:13:01.778Z,CT-2026-00022,Unjani Clinic - Kayamandi,INV-2026-00027,recurring,2026-07-01 → 2026-07-31,wrong_full_month,partial,450.00,276.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,2,Awaiting authorisation,pending,false,241.50,0
2026-07-14T22:13:01.778Z,CT-2026-00023,Unjani Clinic - Zamdela,INV-2026-00039,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,sent,276.00,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00023,Unjani Clinic - Zamdela,INV-2026-00040,recurring,2026-07-01 → 2026-07-31,correct_full_month,sent,517.50,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00024,Unjani Clinic - Sweetwaters,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,debit_order,pending,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00025,Unjani Clinic - Phoenix,INV-2026-00031,recurring,2026-07-01 → 2026-07-31,voided_wrong_full_month,voided,450.00,0.00,paynow,NO,0.00,n/a,Invoice voided — no settlement expected,VOIDED,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00026,Unjani Clinic - New Hanover,INV-2026-00032,recurring,2026-07-01 → 2026-07-31,wrong_full_month,sent,450.00,0.00,paynow,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,,,,,NOT_IN_MANDATE_FILE,missing,,517.50,0
2026-07-14T22:13:01.778Z,CT-2026-00027,Unjani Clinic - Umsinga,INV-2026-00033,recurring,2026-07-01 → 2026-07-31,wrong_full_month,sent,450.00,0.00,paynow,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,,,,,NOT_IN_MANDATE_FILE,missing,,517.50,0
2026-07-14T22:13:01.778Z,CT-2026-00028,Unjani Clinic - Soshanguve (Block P),INV-2026-00037,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,sent,276.00,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,2,Awaiting authorisation,pending,false,,0
2026-07-14T22:13:01.778Z,CT-2026-00028,Unjani Clinic - Soshanguve (Block P),INV-2026-00038,recurring,2026-07-01 → 2026-07-31,correct_full_month,sent,517.50,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,2,Awaiting authorisation,pending,false,,0
2026-07-14T22:13:01.778Z,CT-2026-00033,Unjani Clinic Delmas,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,debit_order,active,,11,Capturing,pending,false,,0
2026-07-14T22:13:01.778Z,CT-2026-00034,Unjani Clinic - Stinkwater,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,debit_order,pending,,6,Accepted,active,false,,0
2026-07-14T22:13:01.778Z,CT-2026-00035,Unjani Clinic - Suurman,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00036,Unjani Clinic - Bridge City KwaMashu,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00037,Unjani Clinic - Daggakraal,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00038,Unjani Clinic - uMzimkhulu,,,,,no_invoice,,,,NO,0.00,none,No invoice issued,NO_INVOICE,,,,,NOT_IN_MANDATE_FILE,missing,,,0
